id|availability|price
0000030015746|in stock|72.69 EUR
0000030015937|in stock|103.58 EUR
0000221013581|in stock|84.91 EUR
0000607160039|in stock|94.31 EUR
0003113750000|in stock|229.74 EUR
0003220002619|in stock|88.35 EUR
0003220004867|in stock|65.62 EUR
0003220004872|in stock|66.87 EUR
0003220004882|in stock|65.95 EUR
0003220004883|in stock|70.95 EUR
0003220004890|in stock|69.52 EUR
0003220004917|in stock|82.38 EUR
0003220004942|in stock|91.35 EUR
0003220004953|in stock|86.30 EUR
0003220004978|in stock|83.55 EUR
0003220005316|in stock|135.14 EUR
0003220005392|in stock|99.34 EUR
0004020040077|in stock|139.71 EUR
0004020040886|in stock|147.14 EUR
0004920034312|in stock|205.41 EUR
0006070099883|in stock|95.80 EUR
0006070136366|in stock|100.00 EUR
0006070152465|in stock|256.87 EUR
0006070236875|in stock|104.68 EUR
0006070248915|in stock|129.03 EUR
0006070262959|in stock|159.08 EUR
0006070272781|in stock|99.46 EUR
0029142337775|in stock|183.33 EUR
0029142337805|in stock|145.25 EUR
0029142337867|in stock|147.99 EUR
0029142337874|in stock|174.21 EUR
0029142337881|in stock|162.49 EUR
0029142337898|in stock|157.43 EUR
0029142337997|in stock|234.99 EUR
0029142338000|in stock|168.96 EUR
0029142338017|in stock|126.72 EUR
0029142338024|in stock|168.02 EUR
0029142338031|in stock|153.46 EUR
0029142338048|in stock|163.92 EUR
0029142338079|in stock|169.37 EUR
0029142630791|in stock|101.09 EUR
0029142630807|in stock|285.11 EUR
0029142630821|out of stock|92.63 EUR
0029142630852|in stock|87.20 EUR
0029142630876|in stock|67.46 EUR
0029142630937|in stock|82.29 EUR
0029142630944|in stock|85.51 EUR
0029142630951|in stock|92.52 EUR
0029142630982|in stock|283.68 EUR
0029142630999|out of stock|106.17 EUR
0029142631019|in stock|282.14 EUR
0029142639756|in stock|209.12 EUR
0029142694816|in stock|168.60 EUR
0029142694830|in stock|176.27 EUR
0029142694847|in stock|191.40 EUR
0029142694854|in stock|205.19 EUR
0029142694885|in stock|182.96 EUR
0029142694908|in stock|210.62 EUR
0029142695301|in stock|105.83 EUR
0029142720454|in stock|200.84 EUR
0029142720461|in stock|189.56 EUR
0029142720478|in stock|210.64 EUR
0029142720508|in stock|239.80 EUR
0029142720522|in stock|280.72 EUR
0029142740995|in stock|469.34 EUR
0029142741015|in stock|284.54 EUR
0029142802259|in stock|241.75 EUR
0029142802266|in stock|257.94 EUR
0029142802808|in stock|355.31 EUR
0029142802860|in stock|649.87 EUR
0029142802891|in stock|278.70 EUR
0029142802907|in stock|283.00 EUR
0029142802914|in stock|310.87 EUR
0029142802938|in stock|230.29 EUR
0029142813019|in stock|170.80 EUR
0029142813026|in stock|131.43 EUR
0029142813040|in stock|160.88 EUR
0029142813057|in stock|202.94 EUR
0029142813064|in stock|390.89 EUR
0029142813071|in stock|170.67 EUR
0029142813095|in stock|134.08 EUR
0029142813316|in stock|116.60 EUR
0029142813330|in stock|162.10 EUR
0029142813347|in stock|101.20 EUR
0029142813354|in stock|103.99 EUR
0029142813385|in stock|125.30 EUR
0029142813521|in stock|229.78 EUR
0029142813538|in stock|150.95 EUR
0029142813545|in stock|143.19 EUR
0029142813712|in stock|126.00 EUR
0029142813729|in stock|572.38 EUR
0029142815709|in stock|268.74 EUR
